,.FF,,Sides,,,3,,,,,N,Y
,EXTRA TOPPING,,Sides,,,0.5,,,,,N,Y
,.HFF,,Sides,,,3,,,,,N,Y
,Mozzarella Sticks App,,Starters,,,8,,,,,N,Y
,Steak Bites - 5oz,,Starters,,,7,,,,,N,Y
,Add Cheese $1,,Starters,,,1,,,,,N,Y
,Wings - 5 Count,,Starters,,,6,,,,,N,Y
,Fried Pickles App,,Starters,,,7,,,,,N,Y
,Add Bacon,,Starters,,,1,,,,,N,Y
,Mac'n'Cheese Bites App,,Starters,,,8,,,,,N,Y
,Steak Bites - 10oz,,Starters,,,12,,,,,N,Y
,Wings - 10 Count,,Starters,,,11,,,,,N,Y
,Pick 3 Basket,,Starters,,,12,,,,,N,Y
,FF App,,Starters,,,5,,,,,N,Y
,Chicken Strips App,,Starters,,,9,,,,,N,Y
,Onion Rings App,,Starters,,,7,,,,,N,Y
,Chips App,,Starters,,,5,,,,,N,Y
,Crab Cakes,,Starters,,,7,,,,,N,Y
,Crab Balls,,Starters,,,7,,,,,N,Y
,Crab Cake W/ Side,,Starters,,,12,,,,,N,Y
,Fried Mushrooms,,Starters,,,7,,,,,N,Y
,Surf & Turf,,Starters,,,12,,,,,N,Y
,Grilled Shrimp,,Starters,,,7,,,,,N,Y
,$1 Premium Side,,Dinner Entrees,,,1,,,,,N,Y
,Ribeye - 14oz,,Dinner Entrees,,,20,,,,,N,Y
,Blackened Salmon,,Dinner Entrees,,,18,,,,,N,Y
,Fish Tacos,,Dinner Entrees,,,12,,,,,N,Y
,Cajun Chicken,,Dinner Entrees,,,14,,,,,N,Y
,Hamburger Steak,,Dinner Entrees,,,14,,,,,N,Y
,Chicken Strips,,Dinner Entrees,,,9,,,,,N,Y
,Surf & Turf,,Dinner Entrees,,,12,,,,,N,Y
,Steak Bites w/ Side-5 oz,,Dinner Entrees,,,10,,,,,N,Y
,Steak Bites w/ Side-10 oz,,Dinner Entrees,,,15,,,,,N,Y
,Basil Hayden,,Alcohol-Whiskey,,,9,,,,,N,N
,Bulleit-Rye/Regular,,Alcohol-Whiskey,,,7.5,,,,,N,N
,Maker's Mark,,Alcohol-Whiskey,,,7,,,,,N,N
,Elijah Craig,,Alcohol-Whiskey,,,7,,,,,N,N
,Jameson,,Alcohol-Whiskey,,,6,,,,,N,N
,Jack Daniels,,Alcohol-Whiskey,,,6,,,,,N,N
,Crown/Crown Apple,,Alcohol-Whiskey,,,6,,,,,N,N
,Jim Beam,,Alcohol-Whiskey,,,5.5,,,,,N,N
,Fireball,,Alcohol-Whiskey,,,5,,,,,N,N
,Wild Turkey 101,,Alcohol-Whiskey,,,5.5,,,,,N,N
,Southern Comfort,,Alcohol-Whiskey,,,5.5,,,,,N,N
,Glenlivet,,Alcohol-Whiskey,,,9,,,,,N,N
,Dewar's,,Alcohol-Whiskey,,,6,,,,,N,N
,A- House Bourbon,,Alcohol-Whiskey,,,4,,,,,N,N
,Ketel One,,Alcohol-Vodka,,,7,,,,,N,N
,Tito's,,Alcohol-Vodka,,,6,,,,,N,N
